Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
118,Ghent UniversityBelgiumCoursesVerify Documents,"35,374",37,9%,53:47:00
119,City University of Hong KongHong KongCoursesExplore,"9,871",11.6,30%,52:48:00
120,University of CopenhagenDenmarkCourses,"29,796",4.2,17%,62:38:00
121,Pierre and Marie Curie UniversityFranceCourses,"28,473",8,17%,48:52:00
122,Radboud University NijmegenNetherlandsCoursesExplore,"19,079",19.1,11%,57:43:00
123,University of SouthamptonUnited KingdomCoursesEnquire,"21,049",12.8,31%,53:47:00
124,University of Virginia (Main campus)United StatesCoursesEnquireAdmissions Support,"23,797",10,12%,53:47:00
125,The University of Western AustraliaAustraliaCoursesEnquire,"20,777",23,27%,50:50:00
126,Case Western Reserve UniversityUnited StatesCoursesEnquireAdmissions Support,"9,622",6.6,18%,48:52:00
127,University of ExeterUnited KingdomCoursesExplore,"18,233",17.5,27%,55:45:00
128,Université Catholique de LouvainBelgiumCoursesVerify Documents,"23,916",38.1,19%,54:46:00
129,University of YorkUnited KingdomCoursesEnquire,"14,676",15.3,26%,55:45:00
130,University of BirminghamUnited KingdomCoursesEnquire,"26,362",16.7,25%,54:46:00
131,Arizona State University (Tempe)United StatesCoursesExplore,"43,082",20.1,16%,44:56:00
132,Trinity College DublinIrelandCoursesExplore,"15,805",23.4,25%,58:42:00
133,University of OsloNorwayCoursesVerify Documents,"27,215",18.7,18%,54:46:00
134,University of LeedsUnited KingdomCoursesEnquire,"27,791",15,22%,59:41:00
135,University of FloridaUnited StatesCoursesEnquireAdmissions Support,"44,911",17,9%,54:46:00
136,Tufts UniversityUnited StatesCoursesEnquireAdmissions Support,"10,462",10.1,15%,54:46:00
137,Ulm UniversityGermanyCoursesVerify Documents,"10,370",27.3,12%,47:53:00
138,University of GenevaSwitzerlandCourses,"15,587",15,40%,61:39:00
139,Lancaster UniversityUnited KingdomCoursesEnquireAdmissions Support,"11,673",13.6,35%,52:48:00
140,Scuola Normale Superiore di PisaItalyCourses,545,15.1,6%,30 : 70
141,Sungkyunkwan University (SKKU)South KoreaCoursesExplore,"24,791",19.1,10%,n/a
142,"Rutgers, the State University of New JerseyUnited StatesCoursesEnquireAdmissions Support","42,892",10.8,8%,52:48:00
143,University of AdelaideAustraliaCoursesExplore,"20,462",29.6,27%,47:53:00
144,University of Notre DameUnited StatesCoursesEnquireAdmissions Support,"11,821",13.5,10%,45:55:00
145,Karlsruhe Institute of TechnologyGermanyCoursesVerify Documents,"25,948",24.5,17%,27 : 73
146,Stockholm UniversitySwedenCourses,"31,272",23.5,8%,62:38:00
147,"University of California, Santa CruzUnited StatesCoursesEnquire","17,203",24.5,2%,53:47:00
148,University of NottinghamUnited KingdomCoursesEnquire,"29,738",14.7,28%,53:47:00
149,University of Cape TownSouth AfricaCoursesExplore,"20,061",11.6,17%,53:47:00
150,University of SussexUnited KingdomCoursesEnquire,"12,293",15.8,35%,55:45:00
151,Indiana UniversityUnited StatesCoursesEnquire,"66,057",14.2,14%,52:48:00
152,University of LausanneSwitzerlandCourses,"12,647",13.5,24%,n/a
153,University of RochesterUnited StatesCoursesEnquireAdmissions Support,"9,628",4.5,28%,51:49:00
154,University of Science and Technology of ChinaChinaCoursesExplore,"14,827",8.1,3%,n/a
155,University of TwenteNetherlandsCoursesVerify Documents,"6,583",12.5,28%,36 : 64
156,Fudan UniversityChinaCourses,"32,449",12.1,11%,50:50:00
157,University of ArizonaUnited StatesCoursesEnquire,"37,023",12.8,9%,52:48:00
158,Vrije Universiteit AmsterdamNetherlandsCoursesVerify Documents,"24,592",15.5,7%,56:44:00
159,University of LiverpoolUnited KingdomCoursesEnquire,"19,085",11.7,34%,53:47:00
160,KTH Royal Institute of TechnologySwedenCoursesVerify Documents,"12,841",15.9,17%,31 : 69
161,University of Erlangen-NurembergGermanyCourses,"37,882",55.4,9%,49:51:00
162,University of MünsterGermanyCoursesVerify Documents,"41,807",42.4,6%,53:47:00
163,University of ViennaAustriaCourses,"34,711",20.3,26%,67:33:00
164,Autonomous University of BarcelonaSpainCoursesExplore,"31,095",12.4,11%,59:41:00
165,TU DresdenGermanyCoursesVerify Documents,"35,468",36.3,12%,42:58:00
166,University of AucklandNew ZealandCoursesExplore,"30,287",18.9,29%,54:46:00
